WEEK NUMBER,NO. OF DEATHS ,COUNT,TYPE,SEASON
2016-27,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-27,1,0,CURRENT WEEK DEATHS,2015-16
2016-28,1,1,PREVIOUS WEEK DEATHS,2015-16
2016-28,1,0,CURRENT WEEK DEATHS,2015-16
2016-29,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-29,0,0,CURRENT WEEK DEATHS,2015-16
2016-30,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-30,0,0,CURRENT WEEK DEATHS,2015-16
2016-31,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-31,0,0,CURRENT WEEK DEATHS,2015-16
2016-32,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-32,0,0,CURRENT WEEK DEATHS,2015-16
2016-33,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-33,0,0,CURRENT WEEK DEATHS,2015-16
2016-34,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-34,0,0,CURRENT WEEK DEATHS,2015-16
2016-35,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-35,0,0,CURRENT WEEK DEATHS,2015-16
2016-36,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-36,0,0,CURRENT WEEK DEATHS,2015-16
2016-37,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-37,0,0,CURRENT WEEK DEATHS,2015-16
2016-38,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-38,0,0,CURRENT WEEK DEATHS,2015-16
2016-39,0,0,PREVIOUS WEEK DEATHS,2015-16
2016-39,0,0,CURRENT WEEK DEATHS,2015-16
2016-40,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-40,0,0,CURRENT WEEK DEATHS,2016-17
2016-41,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-41,0,0,CURRENT WEEK DEATHS,2016-17
2016-42,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-42,0,0,CURRENT WEEK DEATHS,2016-17
2016-43,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-43,0,0,CURRENT WEEK DEATHS,2016-17
2016-44,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-44,0,0,CURRENT WEEK DEATHS,2016-17
2016-45,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-45,0,0,CURRENT WEEK DEATHS,2016-17
2016-46,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-46,0,0,CURRENT WEEK DEATHS,2016-17
2016-47,0,0,PREVIOUS WEEK DEATHS,2016-17
2016-47,0,0,CURRENT WEEK DEATHS,2016-17
2016-48,1,1,PREVIOUS WEEK DEATHS,2016-17
2016-48,1,0,CURRENT WEEK DEATHS,2016-17
2016-49,1,1,PREVIOUS WEEK DEATHS,2016-17
2016-49,1,0,CURRENT WEEK DEATHS,2016-17
2016-50,1,1,PREVIOUS WEEK DEATHS,2016-17
2016-50,1,0,CURRENT WEEK DEATHS,2016-17
2016-51,4,4,PREVIOUS WEEK DEATHS,2016-17
2016-51,4,0,CURRENT WEEK DEATHS,2016-17
2016-52,1,1,PREVIOUS WEEK DEATHS,2016-17
2016-52,1,0,CURRENT WEEK DEATHS,2016-17
2017-01,5,5,PREVIOUS WEEK DEATHS,2016-17
2017-01,5,0,CURRENT WEEK DEATHS,2016-17
2017-02,4,4,PREVIOUS WEEK DEATHS,2016-17
2017-02,4,0,CURRENT WEEK DEATHS,2016-17
2017-03,4,4,PREVIOUS WEEK DEATHS,2016-17
2017-03,4,0,CURRENT WEEK DEATHS,2016-17
2017-04,9,9,PREVIOUS WEEK DEATHS,2016-17
2017-04,9,0,CURRENT WEEK DEATHS,2016-17
2017-05,5,5,PREVIOUS WEEK DEATHS,2016-17
2017-05,5,0,CURRENT WEEK DEATHS,2016-17
2017-06,8,8,PREVIOUS WEEK DEATHS,2016-17
2017-06,8,0,CURRENT WEEK DEATHS,2016-17
2017-07,12,12,PREVIOUS WEEK DEATHS,2016-17
2017-07,12,0,CURRENT WEEK DEATHS,2016-17
2017-08,11,11,PREVIOUS WEEK DEATHS,2016-17
2017-08,11,0,CURRENT WEEK DEATHS,2016-17
2017-09,1,1,PREVIOUS WEEK DEATHS,2016-17
2017-09,1,0,CURRENT WEEK DEATHS,2016-17
2017-10,4,4,PREVIOUS WEEK DEATHS,2016-17
2017-10,4,0,CURRENT WEEK DEATHS,2016-17
2017-11,5,5,PREVIOUS WEEK DEATHS,2016-17
2017-11,5,0,CURRENT WEEK DEATHS,2016-17
2017-12,3,3,PREVIOUS WEEK DEATHS,2016-17
2017-12,3,0,CURRENT WEEK DEATHS,2016-17
2017-13,3,3,PREVIOUS WEEK DEATHS,2016-17
2017-13,3,0,CURRENT WEEK DEATHS,2016-17
2017-14,5,5,PREVIOUS WEEK DEATHS,2016-17
